keys;nl_NL;nl;en;en_BW
CommandsTourText;Laat de boot varen door via de knoppen stuurcommando's te geven. Geef bijvoorbeeld het commando {SlagklaarAf} om weg te varen en {LaatLopen} , {Bedankt} en {VastroeienBeideBoorden} om te stoppen.;Laat de boot varen door via de knoppen stuurcommando's te geven. Geef bijvoorbeeld het commando {SlagklaarAf} om weg te varen en {LaatLopen} , {Bedankt} en {VastroeienBeideBoorden} om te stoppen.;Let the boat sail by pressing the command buttons. Use for example the command {SlagklaarAf} to start rowing and {LaatLopen} , {Bedankt} and {VastroeienBeideBoorden} to stop the boat.;Let the boat sail by pressing the command buttons. Use for example the command {SlagklaarAf} to start rowing and {LaatLopen} , {Bedankt} and {VastroeienBeideBoorden} to stop the boat.
CloseIntro;Sluit introductie;Sluit introductie;Close introduction;Close introduction
MoringExplainRaftText;Voer de volgende stappen uit om aan te legen aan het vlot aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster. \n\n1) {SlagklaarAf} : vaar onder een hoek van 45 graden richting de kant\n2) {LightPaddle} : ongeveer halverwege\n3) {LaatLopen} : vlak voor de kant \n4) {RiemenHoogSB} : direct daarna\n5) {VastroeienBB} : om te draaien \n6) {Bedankt} als de boot parallel langs de kant ligt\n;Voer de volgende stappen uit om aan te legen aan het vlot aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {SlagklaarAf} : vaar onder een hoek van 45 graden richting de kant\n2) {LightPaddle} : ongeveer halverwege\n3) {LaatLopen} : vlak voor de kant \n4) {RiemenHoogSB} : direct daarna\n5) {VastroeienBB} : om te draaien \n6) {Bedankt} als de boot parallel langs de kant ligt\n;To moor the boat to the port side float, follow these steps. The boat must be docked and stationary at the location of the star.\n\n{SlagklaarAf}: Sail at a 45 degree angle towards the shore.\n{LightPaddle}: Approximately halfway.\n{LaatLopen}: Just before reaching the shore.\n{RiemenHoogSB}: Immediately after.\n{VastroeienBB}: To turn the boat.\n{Bedankt} when the boat is parallel to the shore;To moor the boat to the port side float, follow these steps. The boat must be docked and stationary at the location of the star.\n\n{SlagklaarAf}: Sail at a 45 degree angle towards the shore.\n{LightPaddle}: Approximately halfway.\n{LaatLopen}: Just before reaching the shore.\n{RiemenHoogSB}: Immediately after.\n{VastroeienBB}: To turn the boat.\n{Bedankt} when the boat is parallel to the shore
StartPractice;Start oefening;Start oefening;Start practice;Start practice
StartPracticeAllCommands;Start met alle commando’s;Start met alle commando’s;Start with all commands;Start with all commands
BackwardsMoringRaftExplainText;Voer de volgende stappen uit om achteruit aan te legen aan het vlot aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {StrijkenBeidenBoorden} : vaar onder een hoek van 30 graden richting de kant\n2) {LaatLopen} : vlak voor de kant \n3) {RiemenHoogSB} : direct daarna\n4) {VastroeienBB} : om te draaien \n5) {Bedankt} als de boot parallel langs de kant ligt\n;Voer de volgende stappen uit om achteruit aan te legen aan het vlot aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {StrijkenBeidenBoorden} : vaar onder een hoek van 30 graden richting de kant\n2) {LaatLopen} : vlak voor de kant \n3) {RiemenHoogSB} : direct daarna\n4) {VastroeienBB} : om te draaien \n5) {Bedankt} als de boot parallel langs de kant ligt\n;Perform the following steps to back up to the starboard float.  The boat must be docked and stationary at the location of the star.\n\n1) {StrijkenBeidenBoorden}: sail at a 30 degree angle towards the shore\n2) {LaatLopen}: just before the shore\n3) {RiemenHoogSB}: immediately afterwards\n4) {VastroeienBB}: to turn\n5) {Bedankt} when the boat is parallel to the shore;Perform the following steps to back up to the starboard float.  The boat must be docked and stationary at the location of the star.\n\n1) {StrijkenBeidenBoorden}: sail at a 30 degree angle towards the shore\n2) {LaatLopen}: just before the shore\n3) {RiemenHoogSB}: immediately afterwards\n4) {VastroeienBB}: to turn\n5) {Bedankt} when the boat is parallel to the shore
BackwardsMoringExplainText;Voer de volgende stappen uit om achteruit aan te legen aan een hoge wal aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {StrijkenBeidenBoorden} : vaar onder een hoek van 30 graden richting de kant\n2) {LaatLopen} : vlak voor de kant \n3) {SlippenSB} : direct daarna\n4) {VastroeienBB} : om te draaien \n5) {Bedankt} als de boot parallel langs de kant ligt\n;Voer de volgende stappen uit om achteruit aan te legen aan een hoge wal aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {StrijkenBeidenBoorden} : vaar onder een hoek van 30 graden richting de kant\n2) {LaatLopen} : vlak voor de kant \n3) {SlippenSB} : direct daarna\n4) {VastroeienBB} : om te draaien \n5) {Bedankt} als de boot parallel langs de kant ligt\n;Perform the following steps to back up to a high bank on the starboard side. The boat must be docked and stationary at the location of the star.\n\n1) {StrijkenBeidenBoorden}: sail at a 30 degree angle towards the shore\n2) {LaatLopen}: just before the shore\n3) {SlippenSB}: immediately afterwards\n4) {VastroeienBB}: to turn\n5) {Bedankt} when the boat is parallel to the shore;Perform the following steps to back up to a high bank on the starboard side. The boat must be docked and stationary at the location of the star.\n\n1) {StrijkenBeidenBoorden}: sail at a 30 degree angle towards the shore\n2) {LaatLopen}: just before the shore\n3) {SlippenSB}: immediately afterwards\n4) {VastroeienBB}: to turn\n5) {Bedankt} when the boat is parallel to the shore
MoringExplainText;Voer de volgende stappen uit om aan te legen aan een hoge wal aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {SlagklaarAf} : vaar onder een hoek van 45 graden richting de kant\n2) {LightPaddle} : ongeveer halverwege\n3) {LaatLopen} : vlak voor de kant \n4) {SlippenSB} : direct daarna\n5) {VastroeienBB} : om te draaien \n6) {Bedankt} als de boot parallel langs de kant ligt\n;Voer de volgende stappen uit om aan te legen aan een hoge wal aan stuurboord. De boot moet aangelegd en stil liggen op de plek van de ster.\n\n1) {SlagklaarAf} : vaar onder een hoek van 45 graden richting de kant\n2) {LightPaddle} : ongeveer halverwege\n3) {LaatLopen} : vlak voor de kant \n4) {SlippenSB} : direct daarna\n5) {VastroeienBB} : om te draaien \n6) {Bedankt} als de boot parallel langs de kant ligt\n;Perform the following steps to dock to a high bank on the starboard side.   The boat must be docked and stationary at the location of the star.\n\n1) {SlagklaarAf}: sail at a 45 degree angle towards the shore\n2) {LightPaddle}: approximately halfway\n3) {LaatLopen}: just before the shore\n4) {SlippenSB}: immediately afterwards\n5) {VastroeienBB}: to turn\n6) {Bedankt} when the boat is parallel to the shore;Perform the following steps to dock to a high bank on the starboard side.   The boat must be docked and stationary at the location of the star.\n\n1) {SlagklaarAf}: sail at a 45 degree angle towards the shore\n2) {LightPaddle}: approximately halfway\n3) {LaatLopen}: just before the shore\n4) {SlippenSB}: immediately afterwards\n5) {VastroeienBB}: to turn\n6) {Bedankt} when the boat is parallel to the shore
SailAwayExplainText;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {PeddelendStrijkenSB} : eindig met {Bedankt} als er genoeg ruimte is om de riemen uit te brengen \n2) {UitbrengenSB} \n3) {StrijkenBB} : als de boot weer recht licht eindig met {Bedankt} \n4) {SlagklaarAf} om weg te varen.;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {PeddelendStrijkenSB} : eindig met {Bedankt} als er genoeg ruimte is om de riemen uit te brengen \n2) {UitbrengenSB} \n3) {StrijkenBB} : als de boot weer recht licht eindig met {Bedankt} \n4) {SlagklaarAf} om weg te varen.;Perform the following steps to depart from the float. Sail over the star to end the practice.\n\n1) {PeddelendStrijkenSB} : and end with {Bedankt}  if there is enough space to bring out the oars \n2) {UitbrengenSB} \n3) {StrijkenBB} : when the boat is parallel to the float {Bedankt} \n4) {SlagklaarAf} to depart.;Perform the following steps to depart from the float. Sail over the star to end the practice.\n\n1) {PeddelendStrijkenSB} : and end with {Bedankt}  if there is enough space to bring out the oars \n2) {UitbrengenSB} \n3) {StrijkenBB} : when the boat is parallel to the float {Bedankt} \n4) {SlagklaarAf} to depart.
SailAwayExplainPushAwayText;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {UitzettenSB}  en wacht tot de riemen op het water rusten\n2) Gebruik {StrijkenBB} om de boot naar de ster te richten. \n3) {VastroeienBeideBoorden} als de boot nog niet stil ligt en {SlagklaarAf} om weg te varen.;Voer de volgende stappen uit om weg te varen van het vlot en over de ster heen te varen\n\n1) {UitzettenSB}  en wacht tot de riemen op het water rusten\n2) Gebruik {StrijkenBB} om de boot naar de ster te richten. \n3) {VastroeienBeideBoorden} als de boot nog niet stil ligt en {SlagklaarAf} om weg te varen.;"Perform the following steps to depart from the float. Sail over the star to end the practice.:
\n\n1) {UitzettenSB}: extend the oars and wait until they rest on the water\n2) {StrijkenBB}  to point the boat at the star. \n3) {VastroeienBeideBoorden} when the boat is still moving and {SlagklaarAf}: sail away";"Perform the following steps to depart from the float. Sail over the star to end the practice.:
\n\n1) {UitzettenSB}: extend the oars and wait until they rest on the water\n2) {StrijkenBB}  to point the boat at the star. \n3) {VastroeienBeideBoorden} when the boat is still moving and {SlagklaarAf}: sail away"
ButtonText;Knop tekst;Knop tekst;Button text;Button text
FullCommand;Volledige commando;Volledige commando;Full command;Full command
BakboortBest_shortcut;e;r;z;e
Bedankt_shortcut;b;b;o;b
BestBedankt_shortcut;e;r;z;e
HalenBB_shortcut;h;a;s;h
HalenBeideBoorden_shortcut;h;a;s;h
HalenSB_shortcut;h;a;s;h
LaatLopen_shortcut;l;l;l;l
LightPaddle_shortcut;g;c;u;g
LightPaddleBedankt_shortcut;g;c;u;g
PakMaarWeerOp_shortcut;m;m;p;m
PeddelendStrijkenBB_shortcut;p;p;d;p
PeddelendStrijkenSB_shortcut;p;p;d;p
RiemenHoogBB_shortcut;r;i;i;r
RiemenHoogSB_shortcut;r;i;i;r
RondmakenBB_shortcut;d;d;t;d
RondmakenSB_shortcut;d;d;t;d
SlagklaarAf_shortcut;a;a;g;a
Slippen_shortcut;s;s;a;s
SlippenBB_shortcut;s;s;a;s
SlippenSB_shortcut;s;s;a;s
StrijkenBB_shortcut;t;t;b;t
StrijkenBeidenBoorden_shortcut;t;t;b;t
StrijkenSB_shortcut;t;t;b;t
StuurboordBest_shortcut;e;r;z;e
Uitbrengen_shortcut;u;u;r;u
UitbrengenBB_shortcut;u;u;r;u
UitbrengenSB_shortcut;u;u;r;u
UitzettenBB_shortcut;z;z;p;z
UitzettenSB_shortcut;z;z;p;z
VastroeienBB_shortcut;v;h;h;v
VastroeienBeideBoorden_shortcut;v;h;h;v
VastroeienSB_shortcut;v;h;h;v
ShowShortCutsInButtons;Toon snelltoets in knoppen ;Toon snelle knop koppeling in knoppen ;Show shortcuts in buttons;Show shortcuts in buttons
Shortcut;Sneltoets;Sneltoets;Shortcut;Shortcut
ShortCutTourText;Het is ook mogelijk de knoppen met de toetsen te bedienen. Dit kan met de cursortoetsen of door de eerste letter van het commando in te typen. Schakel de optie 'Toon sneltoetskoppeling' in de instellingen aan om sneltoetsen zichtbaar te maken. Groepen toetsen kunnen dezelfde short cut hebben. Druk nog een keer de toets in om naar de volgende te gaan;Het is ook mogelijk de knoppen de toetsen te bedienen. Dit kan met de cursortoetsen of door de eerste letter van het commando in te typen. Schakel de optie 'Toon sneltoetskoppeling' in de instellingen aan om sneltoetsen zichtbaar te maken. Groepen toetsen kunnen dezelfde short cut hebben. Druk nog een keer de toets in om naar de volgende te gaan;It is also possible to control the buttons with the keys. This can be done with the cursor keys or by typing the first letter of the command. Enable the 'Show keyboard shortcut' option in the settings to make keyboard shortcuts visible. Key groups can have the same shortcut, press the key again to move to the next one.;It is also possible to control the buttons with the keys. This can be done with the cursor keys or by typing the first letter of the command. Enable the 'Show keyboard shortcut' option in the settings to make keyboard shortcuts visible. Key groups can have the same shortcut, press the key again to move to the next one.
IntrekkenSB;Intrekken SB;Intrekken SB;Pull in bow side;Intrekken SB
IntrekkenBB;Intrekken BB;Intrekken BB;Pull in stroke side;Intrekken BB
IntrekkenSB_tooltip;Trek de riemen aan stuurboord riemen in om aan een hoge wal aan te leggen. Gebruikt uitbrengen stuurboord om dit te beëindigen. (Dit commando wordt gebruikt in boord boten waarbij slippen niet mogelijk is);Trek de riemen aan stuurboord riemen in om aan een hoge wal aan te leggen. Gebruikt uitbrengen stuurboord om dit te beëindigen. (Dit commando wordt gebruikt in boord boten waarbij slippen niet mogelijk is);"""Pull in the starboard oars to come alongside a high bank. Use “Out oars bow side” to bring the oars back (This command is used in boats when oars along side is not possible)""";"""Pull in the starboard oars to come alongside a high bank. Use “Out oars bow side” to bring the oars back (This command is used in boats when oars along side is not possible)"""
IntrekkenBB_tooltip;Trek de riemen aan bakboord riemen in om aan een hoge wal aan te leggen. Gebruikt uitbrengen bakboord om dit te beëindigen. (Dit commando wordt gebruikt in boord boten waarbij slippen niet mogelijk is);Trek de riemen aan bakboord riemen in om aan een hoge wal aan te leggen. Gebruikt uitbrengen bakboord om dit te beëindigen. (Dit commando wordt gebruikt in boord boten waarbij slippen niet mogelijk is);"""Pull in the port oars to come alongside a high bank. Use “Out oars bow side” to bring the oars back (This command is used in boats when oars along side is not possible)""";"""Pull in the port oars to come alongside a high bank. Use “Out oars bow side” to bring the oars back (This command is used in boats when oars along side is not possible)"""
IntrekkenSB_shortcut;k;k;n;k
IntrekkenBB_shortcut;k;k;n;k
Scull;Scull boot;Scull boot;Scull boat;Scull boat
ScullTooltip;Als boord is geselecteerd dan heeft de boot minder riemen en wordt bij de standaard knoppen sets slippen vervangen voor intrekken.;Als boord is geselecteerd dan heeft de boot minder riemen en wordt bij de standaard knoppen sets slippen vervangen voor intrekken.;When sweep is selected the boat has less oars and when you use a standard button set the command blades along side will be replaced by pull in.;When sweep is selected the boat has less oars and when you use a standard button set the command blades along side will be replaced by pull in.
HaalBB;1 haaltje BB;Klapje BB;1 Stroke stroke side;1 haaltje BB
HaalSB;1 haaltje SB;Klapje SB;1 Stroke bow side;1 haaltje SB
StrijkBB;1 strijkje BB;1 strijkje BB;1 Back down stroke side;1 strijkje BB
StrijkSB;1 strijkje SB;1 strijkje SB;1 Back down bow side;1 strijkje SB
HaalBB_shortcut;1;1;1;1
HaalSB_shortcut;4;4;4;4
StrijkBB_shortcut;5;5;5;5
StrijkSB_shortcut;7;7;7;7
HaalBB_tooltip;1 haaltje bakboord;1 haal bakboord;1 Stroke stroke side;1 Stroke stroke side
HaalSB_tooltip;1 haaltje stuurboord;1 haal stuurboord;1 Stroke bow side;1 Stroke bow side
StrijkBB_tooltip;1 strijkje bakboord;1 strijk bakboord;1 Back down stroke side;1 Stroke bow side
StrijkSB_tooltip;1 strijkje stuurboord;1 strijk stuurboord;1 Back down bow side;1 Back down bow side
Haal;1 haaltje beide boorden;klapje beide boorden;1 Stroke both sides;1 haaltje beide boorden
Haal_shortcut;3;3;3;3
Haal_tooltip;1 haaltje beide boorden;1 haaltje beide boorden;1 Stroke both sides;1 Stroke both sides
Strijk;1 strijkje beide boorden;1 strijkje beide boorden;1 Back down both sides;1 strijkje beide boorden
Strijk_shortcut;6;6;6;6
Strijk_tooltip;1 strijkje beide boorden;1 strijkje beide boorden;1 Back down both sides;1 back down both sides
StartStilleggenOefenening;Stilleggen oefening (v.a. les 3);Stilleggen oefening;Stop the boat practice;Stop the boat practice
StopBoatPracticeExplainText;Voer de volgende stappen uit om weg te varen en de boot precies op de ster stil te leggen:\n\n1) {SlagklaarAf} : vaar recht door naar de ster\n2) {LaatLopen} … {Bedankt}: vlak voor de ster \n3) {VastroeienBeideBoorden} : om de boot op de ster stil te leggen \n4) {Bedankt} het laatste commando te beëindigen.\n;Voer de volgende stappen uit om weg te varen en de boot precies op de ster stil te leggen:\n\n1) {SlagklaarAf} : vaar recht door naar de ster\n2) {LaatLopen} … {Bedankt}: vlak voor de ster \n3) {VastroeienBeideBoorden} : om de boot op de ster stil te leggen \n4) {Bedankt} het laatste commando te beëindigen.\n;Follow these steps to sail away and stop the boat exactly on the star:\n\n1) {SlagklaarAf}: sail straight towards the star\n2) {LaatLopen} … {Bedankt}: just before the star\n3) {VastroeienBeideBoorden}: to stop the boat on the star\n4) {Bedankt} to finish te last command.\n;Follow these steps to sail away and stop the boat exactly on the star:\n\n1) {SlagklaarAf}: sail straight towards the star\n2) {LaatLopen} … {Bedankt}: just before the star\n3) {VastroeienBeideBoorden}: to stop the boat on the star\n4) {Bedankt} to finish te last command.\n
StartBochtOefenening;Bocht maken oefening (v.a. les 3);Bocht maken oefening;Turn practice;Turn practice
TurnPracticeExplainText;Voer de volgende stappen uit om weg te varen en over de ster aan bakboord te varen.\n\n1) {SlagklaarAf} : vaar recht door naar de ster\n2) {LaatLopen} … {Bedankt}: vlak voor de bocht \n3) Gebruik eerst {VastroeienBB} en indien nodig {HalenSB} om de boot de te draaien en {Bedankt} om draaien te beëindigen\n4) {SlagklaarAf} : vaar recht door over de ster\n;Voer de volgende stappen uit om weg te varen en over de ster aan bakboord te varen.\n\n1) {SlagklaarAf} : vaar recht door naar de ster\n2) {LaatLopen} … {Bedankt}: vlak voor de bocht \n3) Gebruik eerst {VastroeienBB} en indien nodig {HalenSB} om de boot de te draaien en {Bedankt} om draaien te beëindigen\n4) {SlagklaarAf} : vaar recht door over de ster\n;Perform the following steps to sail away and pass over the star on the port side:\n\n1) {SlagklaarAf}: sail straight towards the star\n2) {LaatLopen} … {Bedankt}: just before the turn\n3) Use first {VastroeienBB} and when required {HalenSB} to turn the boat and {Bedankt} to end the turn command\n4) {SlagklaarAf}: sail straight over the star\n;Perform the following steps to sail away and pass over the star on the port side:\n\n1) {SlagklaarAf}: sail straight towards the star\n2) {LaatLopen} … {Bedankt}: just before the turn\n3) Use first {VastroeienBB} and when required {HalenSB} to turn the boat and {Bedankt} to end the turn command\n4) {SlagklaarAf}: sail straight over the star\n
StartAchteruitvarenOefenening;Achteruit varen oefening;Achteruit varen oefening;Back down practice;Back down practice
BackdownPracticeExplainText;Voer de volgende stappen uit achteruit te varen en de boot precies op de ster stil te leggen:\n\n1) {StrijkenBeidenBoorden} : om recht achteruit naar de ster te varen\n2) {LaatLopen} … {Bedankt}: vlak voor de ster \n3) {VastroeienBeideBoorden} : om de boot op de ster stil te leggen \n4) {Bedankt} het laatste commando te beëindigen.\n;Voer de volgende stappen uit achteruit te varen en de boot precies op de ster stil te leggen:\n\n1) {StrijkenBeidenBoorden} : om recht achteruit naar de ster te varen\n2) {LaatLopen} … {Bedankt}: vlak voor de ster \n3) {VastroeienBeideBoorden} : om de boot op de ster stil te leggen \n4) {Bedankt} het laatste commando te beëindigen.\n;Follow these steps to sail away and stop the boat exactly on the star:\n\n1) {StrijkenBeidenBoorden}: to back down straight towards the star\n2) {LaatLopen} … {Bedankt}: just before the star\n3) {VastroeienBeideBoorden}: to stop the boat on the star\n4) {Bedankt} to finish te last command.\n;Follow these steps to sail away and stop the boat exactly on the star:\n\n1) {StrijkenBeidenBoorden}: to back down straight towards the star\n2) {LaatLopen} … {Bedankt}: just before the star\n3) {VastroeienBeideBoorden}: to stop the boat on the star\n4) {Bedankt} to finish te last command.\n
StartAchteruitBochtOefenening;Bocht achteruit oefening;Bocht achteruit oefening;Back down and turn practice;Back down and turn practice
BackdownTurnPracticeExplainText;Voer de volgende stappen achteruit te varen en over de ster aan bakboord te varen:\n\n1) Gebruik {StrijkenSB} en {StrijkenBB} om de boot te draaien en {Bedankt} om draaien te beëindigen\n4) {StrijkenBeidenBoorden} : om achteruit over de ster te varen\n;Voer de volgende stappen achteruit te varen en over de ster aan bakboord te varen:\n\n1) Gebruik {StrijkenSB} en {StrijkenBB} om de boot te draaien en {Bedankt} om draaien te beëindigen\n4) {StrijkenBeidenBoorden} : om achteruit over de ster te varen\n;Follow these steps to reverse row and pass over the star on the port side:\n\n1) Use {StrijkenSB} and {StrijkenBB} to turn the boat and {Bedankt} to finish turning\n2) {StrijkenBeidenBoorden}: to reverse row over the star\n;Follow these steps to reverse row and pass over the star on the port side:\n\n1) Use {StrijkenSB} and {StrijkenBB} to turn the boat and {Bedankt} to finish turning\n2) {StrijkenBeidenBoorden}: to reverse row over the star\n
EndPracticeText;Goed gedaan!;Goed gedaan!;Well done!;Well done!
CancelNextPractice;Stoppen;Stoppen;Stop;Stop
StartNextPractice;Volgende oefening;Volgende oefening;Next practice;Next practice
StartPractices;Start oefeningen;Start oefeningen;Start practices;Start practices
EndCrashPracticeText;Jammer gebotst;Jammer gebotst;Too bad collided;Too bad collided
StartSamePractice;Nog een keer;Nog een keer;Again;Again
CancelNextPractice;Annuleer oefeningen;Annuleer oefeningen;Cancel practices;Cancel practices
Reset;Reset;Reset;Reset;Reset
ResetPractices;Reset voltooide oefeningen;Reset voltooide oefeningen;Reset finished practices;Reset finished practices
EndPracticeStar;Je hebt een ster verdiend;Je hebt een ster verdiend;You earned a star;You earned a star
UsePushAway;FALSE;TRUE;TRUE;FALSE
Default;Standaard;Standaard;Default;Default
Yes;Ja;Ja;Yes;Yes
No;Nee;Nee;No;No
UsePushAwayOption;Wegvaren gebruik uitzetten;Wegvaren gebruik uitzetten;Sail away use push away;Sail away use push away
DoNotForgetEasyOff;Vergeet niet {Bedankt} te zeggen;Vergeet niet {Bedankt} te zeggen;Do not forget to say {Bedankt};Do not forget to say {Bedankt}
AnimatedWater;Water animatie;Water animatie;Water animation;Water animation
ExplainVisiblePracticesText;Zet oefeningen uit die je niet in het start menu wilt zien of wijzig de tekst;Zet oefeningen uit die je niet in het start menu wilt zien of wijzig de tekst;Switch off practices which you do not want to see in the start menu change the text;Switch off practices which you do not want to see in the start menu or change the text
EnablePracticesTab;Oefeningen;Oefeningen;Practices;Practices
DisabledPractices;[13,16,19,20,21,22];[6,19,20,21,22];[6,19,20,21,22];[13,16,19,20,21,22]
StartMoringHarbour;Aanleggen haven;Aanleggen haven;Mooring in harbour;Mooring in harbour
MoringHarbourExplainText;Voer de volgende stappen uit om aan te legen aan het vlot aan stuurboord in de haven. De boot moet aangelegd en stil liggen op de plek van de ster. \n\n1) {SlagklaarAf} : vaar eerste richting de haven\n2) Draai de boot met eerste {VastroeienSB} en daarna {HalenBB} \n3) Roei naar het vlot met {HalenBeideBoorden}. Gebruik {LightPaddle} of maar 1 haal voor niet te veel snelheid. Ligt je boot niet precies uitgelijnd met het vlot dan kun je eerst wat afstand nemen met {StrijkenBeidenBoorden} en dan met {LightPaddle} langzaam naar de haven varen. Met {StuurboordBest} en {BakboortBest} kun je de boot goed richten. \n4) {RiemenHoogSB} : Vlak voor het vlot\n5) {Bedankt} als de boot langs de kant ligt bij de ster\n\nEr zijn ook andere manieren van aanleggen, als er genoeg ruimte is zoals bij deze haven kun je onder een kleine hoek aanvaren en met {VastroeienBB} de boot stil te leggen. \n;Voer de volgende stappen uit om aan te legen aan het vlot aan stuurboord in de haven. De boot moet aangelegd en stil liggen op de plek van de ster. \n\n1) {SlagklaarAf} : vaar eerste richting de haven\n2) Draai de boot met eerste {VastroeienSB} en daarna {HalenBB} \n3) Roei naar het vlot met {HalenBeideBoorden}. Gebruik {LightPaddle} of maar 1 haal voor niet te veel snelheid. Ligt je boot niet precies uitgelijnd met het vlot dan kun je eerst wat afstand nemen met {StrijkenBeidenBoorden} en dan met {LightPaddle} langzaam naar de haven varen. Met {StuurboordBest} en {BakboortBest} kun je de boot goed richten. \n4) {RiemenHoogSB} : Vlak voor het vlot\n5) {Bedankt} als de boot langs de kant ligt bij de ster\n\nEr zijn ook andere manieren van aanleggen, als er genoeg ruimte is zoals bij deze haven kun je onder een kleine hoek aanvaren en met {VastroeienBB} de boot stil te leggen. \n;To moor the boat to the port side float in the harbour, follow these steps. The boat must be docked and stationary at the location of the star.\n\n1) {SlagklaarAf} : first sail to the harbour.\n2) First turn the boat with {VastroeienSB} and then with {HalenBB} \n3) Row to the float using {LightPaddle} and {HalenBeideBoorden}. When the boat is fully aligned with the float create some distance using {StrijkenBeidenBoorden}, and then slowly row towards the dock with {LightPaddle}. You can steer the boat well using {StuurboordBest} and {BakboortBest}. \n4) {RiemenHoogSB} : Just before the float\n5) {Bedankt} when the boat is alongside the float at the star.\n\nIf there's enough space, you can also approach at a slight angle and use {VastroeienBB} to stop the boat.\n;To moor the boat to the port side float in the harbour, follow these steps. The boat must be docked and stationary at the location of the star.\n\n1) {SlagklaarAf} : first sail to the harbour.\n2) First turn the boat with {VastroeienSB} and then with {HalenBB} \n3) Row to the float using {LightPaddle} and {HalenBeideBoorden}. When the boat is fully aligned with the float create some distance using {StrijkenBeidenBoorden}, and then slowly row towards the dock with {LightPaddle}. You can steer the boat well using {StuurboordBest} and {BakboortBest}. \n4) {RiemenHoogSB} : Just before the float\n5) {Bedankt} when the boat is alongside the float at the star.\n\nIf there's enough space, you can also approach at a slight angle and use {VastroeienBB} to stop the boat.\n
StartSlalomPractice;Slalom (het achtje) (v.a. les 7);Slalom;Slalom;Slalom
StartSlalomPracticeExplainText;Volg de blauwe lijn en verzamel de drie sterren.\n\n1) Zorg er voor dat de boot niet te snel gaat, geef 1 max 2 halen en laat de boot uitlopen.\n2) Om tussen de de boeien door te roeien maak 2 halen en geef dan het commando {Slippen} \n\nMet deze oefening leer je snel commando’s geven en manoeuvreren met weinig ruimte.;Volg de blauwe lijn en verzamel de drie sterren.\n\n1) Zorg er voor dat de boot niet te snel gaat, geef 1 max 2 halen en laat de boot uitlopen.\n2) Om tussen de de boeien door te roeien maak 2 halen en geef dan het commando {Slippen} \n\nMet deze oefening leer je snel commando’s geven en manoeuvreren met weinig ruimte.;"Follow the blue line and collect the three stars.\n\n1) Make sure the boat doesn’t go too fast; take 1 to a maximum of 2 strokes and let the boat glide.\n2) To row between the buoys, take 2 strokes and then give the command to stop on both sides.\n\nWith this exercise, you will learn to give commands quickly and maneuver in tight spaces.";"Follow the blue line and collect the three stars.\n\n1) Make sure the boat doesn’t go too fast; take 1 to a maximum of 2 strokes and let the boat glide.\n2) To row between the buoys, take 2 strokes and then give the command to stop on both sides.\n\nWith this exercise, you will learn to give commands quickly and maneuver in tight spaces."
Demo;Demo;Demo;Demo;Demo
EndDemo;Probeer het nu zelf;Probeer het nu zelf;Now try it yourselves.;Now try it yourselves.
ShareSettings;Deel instellingen;Deel instellingen;Share settings;Share settings
ShareSettingsExplainResult;Je instellingen zijn toegevoegd aan de link in de navigatiebalk van je browser. Kopieer deze link en stuur hem naar de mensen met wie je de instellingen wilt delen.\nAls je browser het ondersteund staat ook de url op het klembord. Gebruik plakken om de url te delen.;Je instellingen zijn toegevoegd aan de link in de navigatiebalk van je browser. Kopieer deze link en stuur hem naar de mensen met wie je de instellingen wilt delen.\nAls je browser het ondersteund staat ook de url op het klembord. Gebruik plakken om de url te delen.;Your settings have been added to the link navigation bar of the browser. Copy the link and send it to the persons you want to share the settings with.\nThe link is also copied to the clipboard. Use paste to share your url.;Your settings have been added to the link navigation bar of the browser. Copy the link and send it to the persons you want to share the settings with.\nThe link is also copied to the clipboard. Use paste to share your url.
ShareSettingsClose;Sluit en ga weer over op de link zonder instellingen;Sluit en ga weer over op de link zonder instellingen;Close and revert to the link without settings;
Continue;Verder;Verder;Continue;Continue
ForceHiDef;Resolutie;Resolutie;Resolution;Resolution
DisplayTab;Scherm;Scherm;Display;Display
DisplayTabWarning;Voor de volgende instellingen is voldoende processor capaciteit nodig. De instellingen worden niet gedeeld. ;Voor de volgende instellingen is voldoende processor capaciteit nodig. De instellingen worden niet gedeeld. ;The following settings require enough processor power. The settings will not be shared.;The following settings require enough processor power. The settings will not be shared.
ResolutionNormal;Laag;Laag;Low;Low
ResolutionHigh;Hoog;Hoog;High;High
ResolutionDefault;Automatisch;Automatisch;Automatic;Automatic
